input,raw material,technosphere,Process Chemicals,qudt:Kilogram,30,Includes additives. catalysts. chemicals. etc.
input,energy,,Coal,MJ,6000
input,energy,,Crude Oil,MJ,8340
input,energy,,Natural Gas,MJ,30300
input,energy,,Hydro,MJ,519
input,energy,,Nuclear,MJ,2310
input,energy,,Other,MJ,0.523
input,energy,,Crude Oil (Feedstock),MJ,21000,Feedstock values are the theoretical energy that could be recovered via combustion
input,energy,,Natural Gas (Feedstock),MJ,25500,Feedstock values are the theoretical energy that could be recovered via combustion
input,emission,air,Carbon dioxide,qudt:Kilogram,2300
input,emission,air,Carbon monoxide,qudt:Kilogram,1.1
input,emission,air,Sulphur oxides (reported as SO2),qudt:Kilogram,6.8
input,emission,air,Nitrogen oxides (reported as NO2),qudt:Kilogram,8.1
input,emission,air,Methane,qudt:Kilogram,31
input,emission,air,Dust & particles (includes metals),qudt:Kilogram,1.51,Total of Metals and metal compounds and PM10
input,emission,air,Acid gases,qudt:Kilogram,0.21
output,emission,air,VOC ,qudt:Kilogram,7.9,VOCs may or may not include compounds already listed under 'hydrocarbons' or 'other organic compounds'
output,emission,air,Hydrocarbons (unspecified),qudt:Kilogram,2.6
output,emission,air,Nitrogen,qudt:Kilogram,19
output,emission,air,Other organic compounds,qudt:Kilogram,0.34,Includes oxygenated hydrocarbons. halogenated hydrocarbons. nitrogen-containing hydrocarbons. etc.
output,emission,air,Other,qudt:Kilogram,0.065,Includes compounds not containing both carbon and hydrogen
output,emission,water,Phosphates and ammonia,qudt:Kilogram,0.015
output,emission,water,Oils and greases,qudt:Kilogram,0.24
output,emission,water,Suspended solids,qudt:Kilogram,3.3
output,emission,water,Other organics,qudt:Kilogram,0.1
output,emission,water,Other,qudt:Kilogram,1.3,Includes compounds not containing both carbon and hydrogen
output,emission,water,Hydrocarbons,qudt:Kilogram,0.17
output,emission,water,Metals,qudt:Kilogram,0.29
output,emission,water,Acids,qudt:Kilogram,0.016
output,emission,water,BOD,qudt:Kilogram,0.091
output,emission,water,COD,qudt:Kilogram,0.83
output,emission,water,Salinity,qudt:Kilogram,3.5
output,emission,water,Dissolved solids,qudt:Kilogram,18
output,emission,land,RCRA D (EPA-regulated non-hazardous waste),qudt:Kilogram,110
output,emission,land,RCRA C (EPA-regulated hazardous waste),qudt:Kilogram,2.7
output,emission,deepwell,RCRA D (EPA-regulated non-hazardous waste),qudt:Kilogram,9.3
output,emission,deepwell,RCRA C (EPA-regulated hazardous waste),qudt:Kilogram,0.011